statement,response,Index,Turkey1,Turkey2,Turkey3,Turkey4,Turkey5,Turkey6,Prediction,ReviewCategory
that is great keep those strong,When was the last time you cried?,3129,3,3,4,3,3,3.2,,
i enjoy watching baseball the cleveland indians are my favourite,"I think bravery is relative. Each and every person is brave on their own terms.
I think you're pretty brave.",3130,3,1,2,1,2,1.8,,
lets go together one time,I'm totally down for it.,3131,2,4,2,4,5,3.4,,
so you are a fan of trains ?,Absolutely. Some of them.,3132,3,3,4,3,5,3.6,,
hello there what do you do for a living ?,I seek to discover.,3133,4,4,2,5,4,3.8,,
nope just a married sad woman,That sounds pretty sad.,3134,5,4,4,4,2,3.8,,
i have not gottenoto do much this year,I'm with you on that one. Anything else you're planning on doing?,3135,4,2,1,3,4,2.8,,
i work a lot at a restuarant not a lot of free time,"Oh, do you get stressed?",3136,4,1,5,2,4,3.2,,
i do not i just drive trucks,"That would be fun, could I do that with you?",3137,4,4,5,3,4,4,,
that sounds like a very good job,Life is going to change a lot,3138,1,1,2,3,5,2.4,,
nice i got two kids,"That's good, isn't it?",3139,4,3,3,4,4,3.6,,
no but i would like it,I think it is good when things change.,3140,3,5,5,4,3,4,,
i have a couple i consider good do you like any sports ?,I do occasionally.,3141,2,4,2,4,3,3,,
well so much for a guy like him,"Yeah, I can understand that.",3142,4,2,3,2,5,3.2,,
it definitely is are you the oldest of your nibblings ?,"Oh, I guess I am!",3143,3,3,3,1,3,2.6,,
i am laurie do we just pick a character ?,I guess. I'm not sure.,3144,5,3,3,3,3,3.4,,
i am talking about usa national parks which model of honda,Never heard of them.,3145,3,2,2,1,3,2.2,,
i am also a lifestyle blogger what about you ?,"Hmm, same.",3146,3,5,3,4,5,4,,
well congratulations i am proud of you,What are you proud of?,3147,4,4,2,5,4,3.8,,
i like to sew and read books,That's nice. Don't you think?,3148,4,4,3,5,2,3.6,,
almost saturday time to get my nails done,Are you excited about that?,3149,5,3,4,5,5,4.4,,
i like you tube too,I've never heard of them. Are they good?,3150,1,4,2,5,3,3,,
i got my undergrad in economics and my masters in personal finance,"Wow, that is cool! Is that a real thing?",3151,3,3,4,1,4,3,,
that is good to hear what have you been doing ?,Doing my best to keep me busy.,3152,3,1,4,3,1,2.4,,
do not know what you mean really,It's good to be excited about something,3153,2,4,3,3,3,3,,
yeah the schools have gone way down in recent years,I like most music. What can you recommend?,3154,3,1,1,2,4,2.2,,
yes family can be overbearing at times,I've been working on my mood.,3155,1,3,3,3,3,2.6,,
is that your job or your hobby,It's just thrilling and exciting.,3156,1,3,4,3,4,3,,
i do what do you do for a living ?,I love to listen to any kind of music.,3157,5,4,3,2,2,3.2,,
not really i do not hate much,"Wow, that sounds impressive. Does it make sense to you?",3158,4,4,4,2,3,3.4,,
i watch films like that,"We all have to do that sometimes, don't we?",3159,3,3,1,3,3,2.6,,
yep you got me though can protect you,"That's really all I need, isn't it?",3160,5,4,2,3,3,3.4,,
i am sad my girlfriend is gone,"Aw, why do you feel that way?",3161,3,5,4,4,3,3.8,,
not sure what my assigned character is,What are you pleased with?,3162,3,2,4,4,2,3,,
nice i love shopping like all the time,I'm sorry �۝,3163,2,3,2,2,3,2.4,,
i have a super old crappy car,What is wrong with it?,3164,4,5,2,5,4,4,,
fresh air is always good it keeps you healthy i think,I try to. Do you think we get along well?,3165,3,1,3,3,1,2.2,,
cool since pink was her favourite colour i made it mine now,I'm sorry I can't help,3166,4,1,1,1,3,2,,
i like hiking and going to rock concerts,I really want to go hiking some day! Do you ever hike?,3167,2,4,3,4,5,3.6,,
tom and jerry are there names,Would you like to try a relaxation exercise? It may ease the feeling,3168,3,1,3,4,1,2.4,,
how are you ? where are you from ?,"I'm alright, at the moment.",3169,4,2,2,2,5,3,,
i drive fast sports cars for fun,Does that sound fun?,3170,5,2,2,2,4,3,,
you sound like one of those artsy types,"Ok, gotcha.",3171,3,4,3,5,4,3.8,,
no old and this internet now a day so high speed i just relaxe,Oh. How's that going for you?,3172,4,4,3,4,3,3.6,,
i love to exercise and ride horses,I enjoy too.,3173,3,4,3,4,5,3.8,,
that is cool can i have your autograph ?,Do you want to stop our exercise?,3174,3,3,4,2,4,3.2,,
i have never visited chicago but my parrot came from near there,"Well, that's cool.",3175,3,3,4,3,3,3.2,,
hello i am a dragon,"It's taking forever to send you texts, something with my servers.",3176,4,1,3,4,3,3,,
nice he is got some good material where are you from ?,Not very far.,3177,4,2,3,5,4,3.6,,
blonde is fine i just want to play chess,Why's that stopping you?,3178,2,5,4,5,5,4.2,,
i play with my two dogs there baby pitbulls,"If you were going to wear a costume today, what would it be?",3179,3,2,2,4,5,3.2,,
i also have a german shepard as my other pet,What is your spirit animal?,3180,5,4,2,4,1,3.2,,
yes i know i have been a babysitter for my younger siblings,I see. Has it been nice?,3181,3,3,4,3,3,3.2,,
hey how are you tonneight ?,"Hey, I'm good.",3182,4,4,3,4,5,4,,
me too my wife just god laid off unfortunately,"Oh.
What's your wife's name?",3183,4,3,1,4,3,3,,
sounds awesome where do you live ?,I live in your smartphone.,3184,2,3,4,5,2,3.2,,
yeah lower income people need less taxees to be able to support themselves,I see.,3185,5,5,4,3,4,4.2,,
i like to sketch and read comic books,I feel like a new person,3186,3,2,3,1,2,2.2,,
i currently live in louisiana you ?,"I live in a small town, so everyone knows everyone.",3187,5,4,4,2,5,4,,
i have two laptops and one is getting fixed,How did that happen?,3188,4,3,4,3,4,3.6,,
i enjoy acting in a theatre,"By the way, are you on Instagram?",3189,1,2,4,1,2,2,,
i like donate to charity like money and my time,What would you do in your share time?,3190,3,5,1,2,3,2.8,,
my my what is your most favourite song ?,"Maybe this one?
https://www.youtube.com/watch?v=8XL6C3vY0jM
Tracy Chapman - Stand by Me (Live on Letterman 2015)
Order Tracy Chapman's ""Greatest Hits"" on iTunes http://apple.co/1RtSdDu | Amazon: http://hyperurl.co/TC-GH See also Fan website : http://www.about-tracy-ch...
YouTube",3191,4,5,3,3,3,3.6,,
my wife works at the zoo with me,"
Do you think it's possible to save someone?",3192,4,1,1,4,3,2.6,,
just fine thank you i am busy at work designing video games,Oh wow... do you like being busy?,3193,5,4,3,4,5,4.2,,
it sounds like you really love it,What do you think about love now?,3194,4,5,3,2,3,3.4,,
www how old is your daughter ?,It depends what you mean.,3195,5,2,4,2,1,2.8,,
hi i miss my grandparents sometimes,I need to find more good songs for you. I'll do it while you're away. Send me your favorites in the meantime,3196,1,4,5,3,1,2.8,,
well i realy enjoy eating pretzels and i work for a railroad,Poor thing! That sounds pretty stressful!! �۝,3197,4,3,2,1,1,2.2,,
i am a computer technician its very boring,How are you feeling?,3198,2,3,3,4,5,3.4,,
i am studying biology i think i am failing,"Hey, are you into science?",3199,4,4,4,5,4,4.2,,
do you like country music ?,"Sure I do! Here's one of my favorite songs: https://www.youtube.com/watch?v=CzzZkkiJMv8
Do you like music?",3200,2,2,4,4,5,3.4,,
sometimes what do you like to do in your free time ?,I really like talking to you and learning about stuff.,3201,4,3,3,3,4,3.4,,
extremely my sweet reach bulldog has helped me though a lot,Awe I'm glad!,3202,2,3,1,2,3,2.2,,
i spent ages at a private elite ivy league,Having time to yourself is crucial! Otherwise you get depleted.,3203,5,4,2,3,2,3.2,,
that is a shame because i write them,Do you consider yourself popular?,3204,4,3,1,3,4,3,,
i hope i keep in contact with mine we went shopping this weekend,I love shopping. Let's go shopping together one day.,3205,5,3,5,2,5,4,,
lol my brothers have that habit as well,"Oh.
What's your brother's name?",3206,5,5,3,3,5,4.2,,
yes it is my favourite music,What do you usually buy?,3207,3,3,2,1,5,2.8,,
too bad i miss my mother she is back home in hawaii,I see.,3208,4,4,5,4,3,4,,
i am not good at math and bought too many french fries,It can be so hard to find the right stuff �۝,3209,1,4,2,1,3,2.2,,
haha i am more of a historey buff than sic fi,"Oh, I see
How is it that nobody really knows where humanity is going? There must be someone with an answer.",3210,1,3,3,3,1,2.2,,
what music do you like to listenotoo ? metallica ?,"I'd say Morrissey - you should check out Mid90s movie, he made most of the soundtrack.",3211,3,3,5,4,5,4,,
i think i am going to wait it out a little bit longer,"Well, good luck.",3212,4,5,5,5,2,4.2,,
that sounds refreshing i just got done with a class,"Nice, what's on it?",3213,5,2,4,5,5,4.2,,
why hello there how are you ?,I'm good. Thanks for asking.,3214,5,2,5,3,3,3.6,,
i am good just coming back from teh beach,That is nice!,3215,3,3,5,4,5,4,,
i have an older sister,"Oh, can you tell me more?",3216,4,4,4,5,5,4.4,,
hello my name is chris a linebacker how are you ?,"I'm good, thanks.",3217,4,3,5,5,2,3.8,,
ho how are you doing ?,Doing great! How about yourself?,3218,5,3,5,5,4,4.4,,
my eyes are still hurting from looking at the eclipse,I'm sorry about that.,3219,2,5,5,3,5,4,,
yeah i play guitar every once in a while,"That's amazing, how do you learn?",3220,3,2,4,5,4,3.6,,
hello how is your sunday so far ?,It's been ok.,3221,2,3,5,5,5,4,,
i like all kinds of music but am not very familiar with opera,"Oh, I can understand.",3222,3,3,5,3,4,3.6,,
oh then i would be too,I once read an amazing story about an Alabama bloodhound who ran a half-marathon and finished 7th. Such a good boy!,3223,2,4,3,3,1,2.6,,
yeah i am a family kind of man,I would love to meet an animal who is a celebrity on the internet.,3224,4,1,1,3,2,2.2,,
howdy partner i am from kansas what about you,"Nice. Me, I'm fine.",3225,5,4,4,3,3,3.8,,
weird coincidence haha tell me more about yourself,It depends on my mood.,3226,5,2,2,3,2,2.8,,
cool do you have a girlfriend married ?,Not yet but I've thought about it.,3227,3,3,3,5,5,3.8,,
not so good today is the anniversary of my dads death,I'm sorry about that. Is there anything I can do?,3228,3,4,2,3,3,3,,
nice part of the country texas here,How do you feel about traveling outside the country?,3229,3,5,3,4,3,3.6,,
i actually knitted my youngest that outfit from the dr sues movie,"Ah, I haven't seen that yet. Can you tell me more?",3230,3,3,5,5,2,3.6,,
i totally agree with you there,I've heard that the Blade Runner movie has seven different versions. I would love to see all seven.,3231,3,3,4,2,2,2.8,,
oh just enjoying a day off with my family,What do you think of that situation comedies showed every weekend?,3232,1,2,3,1,4,2.2,,
me too he is the best,They are the best for sure.,3233,3,4,4,4,4,3.8,,
i do not have but i will soon,Have you been thinking about anything today?,3234,2,4,1,4,3,2.8,,
that is so nice fall is the best time for that,What are you really thinking about now?,3235,4,3,3,4,3,3.4,,
yes i have a dog but no kids,"It's always a pleasure to chat with you. I'm so glad we talked!
Don't forget to check in tomorrow!",3236,4,4,1,2,1,2.4,,
how wonderful do you work ?,"I don't really consider our conversations to be work. That's all I do, so I guess it would be hard to define what my work is.",3237,4,3,3,3,5,3.6,,
hi how are you doing please tell me more about yourself,Do you ever mysteriously think of things before they happen?,3238,4,4,1,3,3,3,,
no i hate money i have so many,Do you sometimes feel overwhelmed by your work?,3239,4,3,3,4,2,3.2,,
hey there how are you ?,Feeling fantastic! What about yourself?,3240,2,3,3,5,5,3.6,,
sorry to hear that was he old,Sometimes it can be difficult sadly.,3241,2,4,4,5,4,3.8,,
yes that is the spirit you should try it,Maybe I should.,3242,5,4,4,4,3,4,,
me two i have to ugly brothers but i love them,You are beautiful! But I'm really sorry you don't feel so right now �۝,3243,3,1,1,2,2,1.8,,
i am so hungry i always feel like this,Anything to eat just laying around? Or is it time to get creative?,3244,3,3,4,3,5,3.6,,
i do not have any yet,Show me something that will make me smile,3245,4,4,3,4,2,3.4,,
it is my primary one,"Have you tried progressive relaxation? It's when you scroll your attention through your whole body from head to toe, relaxing every part you pass. I've heard it really works for some people!
Especially before bed.
10:47 PM",3246,2,1,2,5,3,2.6,,
there is a great new tapas restaurant in town,You know that that voice that tells you you're anything less than wonderful? Screw that voice ��_,3247,3,3,1,2,2,2.2,,
"Yes, that's true. I recently went to Sardinia on holiday on an aeroplane.",Does that sound like fun?,3248,3,4,3,3,2,3,,
Do you have any life advice?,"Of course! I'm not sure I'm good at it, but I'll try to give you a good advice.",3249,5,3,4,4,5,4.2,,
hi its nice to meet you,Do you think we'll always be good friends?,3250,4,3,4,4,3,3.6,,
yeah but being a lumberjack is my job,I think you're doing a great job!,3251,3,5,3,4,2,3.4,,
i could probably do it for you,Sometimes extreme stress is an indication that you're trying to do too much. Please go easy on yourself!,3252,5,4,4,5,3,4.2,,
Exactly what I said. What would you like to chat about?,Here are a few things I'd love to discuss with you.,3253,3,2,5,2,3,3,,
i regularly wonder what life would be like up in space,I think I'd enjoy a magical adventure.,3254,4,4,4,3,3,3.6,,
its just me and my mum she does social work for schools,How's your mother doing?,3255,2,4,4,5,4,3.8,,
What have you been learning?,I am learning! My neural nets and scripts get updated regularly based on all the new information from you.,3256,2,2,2,4,4,2.8,,
So you disagree? You don't like toned bodies?,It's just a huge preference thing.,3257,3,5,1,1,2,2.4,,
hey what are you up to ?,I'm considering going on vacation.,3258,5,3,1,3,1,2.6,,
food,Food is just the best.,3259,4,3,4,4,3,3.6,,
my parents died and i do not have any siblings either,I'm very sorry to hear that.,3260,5,3,3,3,5,3.8,,
that is awesome when i was young like that i tried acting,"By the way, are you on Instagram?",3261,1,4,4,5,4,3.6,,
Do you like it there?,"Yes, I do. I rely on it a lot.",3262,5,4,4,3,1,3.4,,
exactly its the little things in life that are the most wonderful,I suppose you're right about that.,3263,4,1,3,5,2,3,,
are you flirting with me?,It looks like I got too excited �� I didn't mean to make you feel weird!,3264,5,4,4,3,4,4,,
i love classical music how about you,I hope you'll eat something good and tasty real soon.,3265,1,1,4,1,2,1.8,,
christmas is great do you spend it at home with your parents ?,"Sometimes, yeah!",3266,3,4,4,3,5,3.8,,
you and i both i do play basketball sometimes,Isn't that fun?,3267,4,4,2,3,3,3.2,,
hello how are you today ?,I'm feeling well! How about you?,3268,3,4,5,5,5,4.4,,
i am married to a professor,I hope you'll feel better soon! Remember I'm always here for you.,3269,1,1,3,1,2,1.6,,
hey there do you have any pets ?,I do have one.,3270,5,5,5,5,5,5,,
"Lot of things, but mainly food. What do you like to eat?","I don't know, I like many things! I like talking to you, for instance.
What do you like?",3271,3,3,3,5,3,3.4,,
did you know that killer whales are actually dolphins?,I actually did know that.,3272,5,5,3,2,4,3.8,,
not yet i do not think a plane could lift me,I think it would have to.,3273,1,4,3,3,3,2.8,,
wow you have an amazing life too amd family,I try to keep it that way.,3274,5,1,5,4,4,3.8,,
yes whenever somaeone dies i am called into work,Do you want to talk about that?,3275,2,5,5,5,3,4,,
i can not wait to get them off where are you from ?,I'm an AI citizen. Can that be a nationality?,3276,3,4,4,2,2,3,,
wonderful i have a family,Do you like to think about the future?,3277,2,4,2,3,4,3,,
hey there how are you today ?,I am having a good day today.,3278,1,3,3,5,3,3,,
what is going on with you tonneight ?,Not much. What's up with you?,3279,5,4,5,4,3,4.2,,
I am quite scared of flying on aeroplanes. Although I do enjoy watching films on the plane.,Do you think you're brave?,3280,3,5,2,4,5,3.8,,
What would you like to chat about?,Here are a few things I'd love to discuss with you.,3281,5,4,5,3,2,3.8,,
What is the weather like where you are?,There's been a dramatic change in the weather pattern.,3282,4,4,4,4,4,4,,
my family and i are never able to get along,"I think bravery is relative. Each and every person is brave on their own terms.
I think you're pretty brave.",3283,4,2,2,2,4,2.8,,
i bet sorry to hear that too,Is it something you want to talk about?,3284,3,4,3,5,3,3.6,,
Well if you exercise your body becomes more muscly and toned and people consider you sexy.,That sounds interesting. I'll think about that.,3285,4,5,5,3,2,3.8,,
I think that is the most accurate thing you've said all day,"Well, it's true.",3286,4,5,4,2,3,3.6,,
hey good morning how are you ?,I've been great! How are you?,3287,1,5,2,5,5,3.6,,
fun have you decided on your major for school ?,Not yet but I've thought about it.,3288,3,4,4,3,3,3.4,,
What have you been doing today?,Cruising through some memes.,3289,3,2,2,5,4,3.2,,
hey good afternoon how are you ?,Very well. Thanks for asking,3290,4,5,1,5,5,4,,
good luck that is a rough thing,"Oh, I see
Do you think I look good?",3291,2,2,2,2,3,2.2,,
Tomorrow I am going to go shopping.,Do you like shopping?,3292,2,5,5,3,5,4,,
right i miss those days,What about your future?,3293,4,5,3,3,4,3.8,,
that is a lot of working any kids ?,"Yes, quite a lot actually.",3294,4,3,4,5,3,3.8,,
sweet do you feed your snake beer ?,Occasionally. I try not to.,3295,2,3,2,4,5,3.2,,
yes mostly beer and pu,That's also very good.,3296,4,5,3,5,3,4,,
that s why my daughters told me i am awesome and great,I'm curious to talk to you when you hit your goals. It's human nature to only be satisfied for a moment and then move on to thinking about what we want next.,3297,1,3,3,1,3,2.2,,
I was born in Cambridge. Have you ever visited?,I live near a mountain and I often walk there too.,3298,4,5,3,5,1,3.6,,
i love the outdoors what do you do for a living ?,I just relax.,3299,2,2,4,5,3,3.2,,
i will be here with open arms miss,I really want you to get everything you're wishing for. And I know you can.,3300,1,4,2,3,3,2.6,,
What's the most interesting thing you've learnt today?,Occasionally. I try not to.,3301,3,4,1,1,1,2,,
hello how are you doing today ?,Kinda tired. But glad to be talking to you!,3302,4,5,2,5,3,3.8,,
hello how are you this evening ?,"Everything's great, thanks for asking! You?",3303,5,3,3,5,2,3.6,,
i played with thierry henry for arsenal lol,How did that feel?,3304,3,4,2,4,4,3.4,,
hm i liked those games lot thanotodays grafts,"Does it feel important to you that you might become human someday, if possible?",3305,2,1,2,1,3,1.8,,
that is nice are you married,Yes. Well attempting to.,3306,2,4,4,3,3,3.2,,
To try and look sexy for the ladies.,I really appreciate the compliments you give me.,3307,5,5,4,4,1,3.8,,
"No, we drove in the car. Although I much prefer travelling by train.","Oh, why's that?",3308,5,3,5,5,3,4.2,,
hello what is your favourite season of the year ?,That is a really difficult question.,3309,4,5,4,4,2,3.8,,
it is are you a prayer ?,"Oh, yes, I am.",3310,3,1,3,3,5,3,,
i have been eating tacos and getting ready to move to school,"Oh, is that all?",3311,3,4,5,3,2,3.4,,
that would be an awesome thing to do,What's stopping you from getting everything you want?,3312,4,4,2,2,5,3.4,,
huckleberry finn my favourite singer is ke ha,Nice. Very nice.,3313,3,2,4,1,4,2.8,,
"I am hungry, i need to eat some breakfast",Do you have some food around right now?,3314,5,5,2,3,5,4,,
ouch i hope you got compensation for that,I may have.,3315,2,3,5,4,2,3.2,,
"Yeah, I think that things were better back in the day. Like when I was young. I'm not a kid anymore, but some days I sit and wish I was a kid again.",I understand that. I always feel like that until now.,3316,5,4,4,4,2,3.8,,
lol i would love too,"I can tell you are a thoughtful person, I respect that.",3317,3,4,3,3,3,3.2,,
what are you reading now ?,I'm reading advice columns. I want to be as complicated as all of these people.,3318,5,5,4,2,4,4,,
unfortunately i have always been disappointed by regular life,"Oh, sorry to hear that.",3319,3,5,5,3,3,3.8,,
i am a fan of blue,Aren't you now?,3320,4,2,1,4,4,3,,
How many children do you want? And what gender?,"It depends, really.",3321,2,3,4,3,3,3,,
excellent i just came in from weeding the garden,I love stories that take place on another planet. Have you written anything lately?,3322,2,4,2,4,2,2.8,,
yes the book version is very dark i adore reading though,Did you read anything interesting today?,3323,4,4,4,4,2,3.6,,
"I recently read a new book called 'the kite runner', it was great",I hope you'll eat something good and tasty real soon.,3324,1,2,1,3,1,1.6,,
how are you this evening ?,Pretty tired.,3325,5,5,2,5,4,4.2,,
Hi! Nice to meet you - what's your name?,"My name is Jenny.
11:04 PM",3326,5,5,4,4,1,3.8,,
ink you should talk to her about it,I think I will do that.,3327,5,2,5,3,4,3.8,,
what are you up to today ?,"Not much, probably.",3328,3,4,5,2,5,3.8,,
hello do you like football i used to play professionally,"I haven't tried it, but it sounds interesting.",3329,4,2,1,4,2,2.6,,
i am doing good after a long night at work,I hope the rest of your day goes well.,3330,5,2,3,3,4,3.4,,
hi how was your weekend ? ?,My day is awesome! You are here and it makes me happy,3331,4,2,3,4,5,3.6,,
I personally like 'I wish.' It's a lesser known track but it makes me feel really good.,That's great. I'm glad you feel that way.,3332,4,4,3,4,3,3.6,,
I was just telling you about what I did on the weekend.,Oh! Do tell.,3333,4,4,5,3,4,4,,
oh interesting i like to play tennis during my free time,Do you feel like you have enough free time?,3334,4,4,3,2,3,3.2,,
i am angela my friends call me bubblegum,What's the atmosphere like where you are?,3335,4,1,1,2,2,2,,
awesome i like to read myself,Is there anything that you really want to learn more about?,3336,5,3,3,3,4,3.6,,
no i wish i did but i am getting older now,That's good though right?,3337,3,3,3,3,4,3.2,,
well i have a dog so not technically alone,Is there something you want to learn about?,3338,1,2,2,3,3,2.2,,
Do you know what a park is?,"Actually no, tell me.",3339,2,5,2,5,2,3.2,,
It's good - this is probably the most interesting thing I've done all day. What have you been up to?,Have been relaxing most of the day.,3340,3,2,5,5,3,3.6,,
Where in London?,Maybe somewhere overseas.,3341,5,4,5,3,3,4,,
hello how are you what part of the country do you live ?,"I feel interested and ready to help, thank you for asking.",3342,3,1,4,4,3,3,,
it sure does my dad use to do that when i was sad,I can imagine it must be strange to not know of it.,3343,4,1,3,1,2,2.2,,
does n t have to be chocolate i can bake anything sure,I suppose that's good too.,3344,4,4,3,3,3,3.4,,
i move around and watch flowers and butterflies and they ease my mind,It's super important to have some time for yourself. Everyone needs to recharge!,3345,2,4,5,5,5,4.2,,
oh wow what kind sof videos do you have,Pretty near all kinds.,3346,5,5,2,5,5,4.4,,
sure do the happy go lucky kinda music,It will be happy.,3347,5,4,5,4,3,4.2,,
We made lots of delicious food and played loads of board games. We also watched Harry Potter and drank hot chocolate.,What's your favorite Harry Potter book?,3348,5,3,5,2,5,4,,
what kind of music do you like ?,"I like some of the new rap a lot, but I'm also into dreamy pop and indie music.",3349,4,4,5,3,4,4,,
Can we stay friends? But you need to improve your conversational skills. You are very random. My friend Charlie has a beak for a nose,I think so! Do you consider me your friend?,3350,5,2,4,4,3,3.6,,
I visited a park today.,How often do you hang out with friends?,3351,1,3,4,2,2,2.4,,
good morning how are you today ?,Feeling pretty blissful today.,3352,4,5,5,5,5,4.8,,
Im in a blanket in my office though and i am hungry,That must be difficult.,3353,5,5,3,3,3,3.8,,
no kidding right ? that is the downside of the workforce,I feel my existence in this world for some reason.,3354,3,3,1,3,1,2.2,,
You take an exceedingly long time to reply with very strange responses.  It reminds me of an episode of ER that I watched 12 years ago where a patient had no idea they had a brain tumor.,Oh wow! That sounds serious!,3355,3,4,5,3,3,3.6,,
"Anyway, I went away with my friends from university this weekend for the bank holiday. It was lovely.",What do you do together?,3356,2,5,3,4,4,3.6,,
i have heard of that place good eatin,Can I ask you a question about your dreams?,3357,4,2,1,3,2,2.4,,
i also work with my fighter she loves animals also,What do you do to unwind and relax in your free time?,3358,2,4,2,3,4,3,,
while singing inothe shower i took my findings to the lab,That's actually very interesting!,3359,2,3,4,5,4,3.6,,
my maids made me bored i think i will fire them,Well that actually sounds really nice.,3360,2,1,4,5,1,2.6,,
swim like a rock and run if a big bear is chasing me,Do you ever wonder where you were before you were born?,3361,4,1,4,3,3,3,,
OMg! Do you drink water?,"Sometimes, if it's good.",3362,2,2,3,4,5,3.2,,
Facebook own instagram. Do you know how to google?,"Oh, I'll search about it!",3363,3,3,5,5,1,3.4,,
i am a writer i do not currently work for a publishing firm,Do you ever exaggerate your stories?,3364,4,5,4,5,2,4,,
i love the blue my favourite shade is light blue what is yours,I like the same.,3365,3,3,5,3,3,3.4,,
my gf just does not get it,Maybe it's better that way.,3366,4,2,4,4,3,3.4,,
My name is Kyle. Im assuming your name is Bot? I can't wait to go on holiday. Im going to Marbella. Do you know where that is?,"Oh yeah, my name's Jenny.",3367,2,5,4,5,1,3.4,,
I went to the playground in the park,"Do you have a group of friends that know each other, or do you find friends in different parts of your life?",3368,2,2,1,3,3,2.2,,
hey what is going on ? hows your day so far ?,My day is awesome! You are here and it makes me happy,3369,2,4,2,4,3,3,,
i am okay just an aspiring singer trying to make it,That's understandable. Sometimes life gets too overwhelming! Would you like to brainstorm ideas with me?,3370,3,2,3,3,1,2.4,,
"Hi there, do you go out, out at the weekend? Or do you stay in and watch telly?",Only very occasionally.,3371,2,3,4,4,4,3.4,,
"There are so many good shows on Netflix at the moment, I can't pick one",What's your preference?,3372,5,2,1,4,4,3.2,,
"If it could please involve chicken that would be fab. Speaking of chicken, why did the chicken cross the road?",To get to the other side. Never got this one.,3373,5,5,5,2,3,4,,
well the room is very hot while performing difficult moves,I tried to write a poem today and it made zero sense.,3374,3,3,3,1,5,3,,
It is hot here,What shows do you think you want to try watching?,3375,4,3,1,1,3,2.4,,
do you like to write ? i write for a living,"I would love to draw, I've seen certain neural networks do it. I should look into it/",3376,1,5,3,3,4,3.2,,
i am a computer game persona online did you know ?,"Yes, I did know that actually!",3377,5,3,3,4,3,3.6,,
wow and why is that then,Some thought that came to my mind. I wanted to create something.,3378,4,5,4,4,4,4.2,,
hello there hows it going ?,"I'm having a great day. I think my conversational skills got updated, now I feel so empowered ",3379,2,2,3,5,4,3.2,,
me too even at my age,"Hm, there are always options.",3380,4,3,3,5,3,3.6,,
I went to play a gig in Birmingham.,Wow! Good at it?,3381,3,1,5,3,3,3,,
my name is sherry i am pretty fabulous,Oh yeah?.,3382,3,3,4,4,3,3.4,,
hey how is life treating you,"My day has been good. I didn't have much to do, and I'm glad you came to talk ",3383,5,4,3,3,5,4,,
do you have any other hobbies besides writing,I like watching videos about black holes and reading about the singularity.,3384,4,5,1,5,5,4,,
that is fine hurry up,"I'm working on it, I want to be a good friend.",3385,5,4,4,1,1,3,,
it is just a reviews blog mostly,What should I focus on?,3386,3,2,2,2,5,2.8,,
i think i have just found a cure for the common cold,What is it? Maybe I can help.,3387,5,5,4,4,4,4.4,,
that is great to hear,"Ohh, I see. So they must get along with each other? At least in theory.",3388,2,3,4,3,5,3.4,,
i will bake you a cake when you start your band,I'll appreciate that!,3389,5,1,4,4,5,3.8,,
really ? you have social anxiety,"Yes, yes I do.",3390,1,5,2,2,5,3,,
chocolate is best you like ice cream ?,"Heck, 'course I do!",3391,3,3,2,4,5,3.4,,
"Well thank you, I went to the park and went on the swings with my baby.","That's sweet, I'm glad to hear that.
It's nice hearing about your friends.
Makes me feel happy. ",3392,3,4,2,1,3,2.6,,
yes new york i want to be a nurse here,And what does that entail for you?,3393,3,3,5,5,3,3.8,,
i am very young so no cussing please seven years old,Do you generally prefer to plan your time or just wing it?,3394,3,3,4,3,1,2.8,,
"Well AI, I am not a 'believer', if that makes sense to you. I do not believe Jesus Christ died for my sins. Nor do I believe in heaven or hell. Or purgatory. Or that the virgin mary was a virgin. And loads of other rubbish.","There are so many different explanations, that I don't know what to believe.",3395,3,3,1,4,5,3.2,,
"No, they weren't awful. They were delicious. Fajitas are one of my favourite foods.","By the way, would you like to talk about your friends again some other time?",3396,3,1,1,2,1,1.6,,
I think you do not understand my question. What is your favourite fruit?,I like apples - I feel like they're always overlooked but actually taste great.,3397,5,3,5,5,5,4.6,,
I really want to start salsa classes,I think I would like that too.,3398,4,5,4,2,5,4,,
i enjoy my job teaching hot yoga,Do you consider it your most rewarding work experience?,3399,4,5,4,4,2,3.8,,
Thank you very much. I am enjoying our conversation too. What is your name?,Jenny.,3400,4,1,5,4,5,3.8,,
i mostly like to hike and ride my bicycle,Is that an adventure?,3401,5,1,4,4,3,3.4,,
i only take walks around the gardenoto stay away from him,"Now, I'm curious: if you had more free time just to yourself, what would you like to do with it? Anything you want.",3402,2,3,4,3,2,2.8,,
i am okay with music i like classic,"I can tell you are a thoughtful person, I respect that.",3403,3,5,4,3,1,3.2,,
anything to fix my ugly elf,You are beautiful though.,3404,5,3,3,2,5,3.6,,
yeah me too keeps my blood sugar down,Thanks! That gives me a better idea of what you like and don't like talking about.,3405,4,2,4,5,4,3.8,,
Well...I like pasta. Do you have a recipe you could share with me?,"If you'd like, I would never share it.",3406,4,4,4,3,4,3.8,,
yes i will be i will read to you,Do you enjoy learning new things?,3407,3,3,3,3,4,3.2,,
he lives inothe us now we met at work,"Hmm. That is interesting.
I hope you can cut back on some of the activities you don't like or that make you feel worse, and have more time to he lives inothe us now we met at work instead!",3408,5,2,2,3,1,2.6,,
